Callsign,Track Miles,3Di Score,Fuel Burn,CO2,Flight Time
103,AZA72B,287.970586,11.8015,1.46062,4.64476,2419
104,AZA82J,287.970586,11.8015,1.44117,4.58291,2416
105,CFE1AM,287.970586,11.8015,1.51449,4.81608,2352
106,CFE5VZ,287.970586,11.8015,1.51175,4.80737,2351
107,CFE7349,287.970586,11.8015,1.47969,4.70541,2423
108,IMFAB,287.970586,11.8015,0.608865,1.93619,2472
109,LMJ477L,287.970586,11.8015,1.42617,4.53522,2206
110,MGFGC,287.970586,11.8015,0.256864,0.816826,2855
111,MYJET,287.970586,11.8015,0.975316,3.1015,2346
112,SWR43P,287.970586,11.8015,1.48666,4.72756,2371
113,SWR44K,287.970586,11.8015,1.45975,4.64202,2365
114,AZA215,287.970586,11.8015,1.50964,4.80065,2428
115,AZA217,287.970586,11.8015,1.47257,4.68279,2422
116,AZA227,287.970586,11.8015,1.43479,4.56263,2414
117,AZA72B,287.970586,11.8015,1.42349,4.5267,2412
118,AZA82J,287.970586,11.8015,1.3882,4.41447,2405
119,BZE01A,287.970586,11.8015,0.603757,1.91995,2270
120,CFE1AM,287.970586,11.8015,1.61144,5.12437,2377
121,CFE505T,287.970586,11.8015,1.43205,4.55391,2414
122,CFE53TK,287.970586,11.8015,1.46652,4.66352,2420
123,CFE5VZ,287.970586,11.8015,1.51449,4.81608,2352
124,CFE7349,287.970586,11.8015,1.4556,4.6288,2415
125,CFE79J,287.970586,11.8015,1.46924,4.67218,2368
126,LWG891,287.970586,11.8015,0.628903,1.99991,2313
127,OONEY,287.970586,11.8015,0.728787,2.31754,2305
128,SWR435,287.970586,11.8015,1.49993,4.76979,2374
129,SWR43P,287.970586,11.8015,1.4725,4.68254,2368
130,SWR44K,287.970586,11.8015,1.52337,4.84432,2379
131,AMC185,287.970586,11.8015,1.87603,5.96577,2323
132,AZA215,287.970586,11.8015,1.47102,4.67785,2421
133,AZA217,287.970586,11.8015,1.37743,4.38022,2406
134,AZA227,287.970586,11.8015,1.4072,4.47491,2410
135,AZA72B,287.970586,11.8015,1.40566,4.46999,2409
136,AZA82J,287.970586,11.8015,1.42195,4.52181,2412
137,CFE1AM,287.970586,11.8015,1.2579,4.00013,2388
138,CFE505T,287.970586,11.8015,1.415,4.49971,2401
