Airspace,Key,Function,TimeOfDay,DESCEND,CLIMB,ASSUME_EXT,ASSUME_INT,HANDOVER_EXT,HANDOVER_INT,FP_MONITORING
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,03:00,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,03:10,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,03:10,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,03:10,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,03:20,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,03:20,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,03:20,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,03:30,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,03:30,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,03:30,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,03:40,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,03:40,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,03:40,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,03:50,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,03:50,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,03:50,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,04:00,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,04:00,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,04:00,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,04:10,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,04:10,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,04:10,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,04:20,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,04:20,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,04:20,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,04:30,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,04:30,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,04:30,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,04:40,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,04:40,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,04:40,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,04:50,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,04:50,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,04:50,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,05:00,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,05:00,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,05:00,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,05:10,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,05:10,0,0,0,0,0,0,0
