Airspace,Key,Function,DESCEND,CLIMB,ASSUME_EXT,ASSUME_INT,HANDOVER_EXT,HANDOVER_INT,FP_MONITORING
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,03:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,03:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,03:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,03:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,03:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,03:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,03:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,03:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,03:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,03:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,03:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,03:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,03:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,03:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,03:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,03:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,03:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,04:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,04:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,04:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,04:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,04:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,04:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,04:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,04:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,04:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,04:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,04:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,04:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,04:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,04:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,04:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,04:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,04:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,04:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,05:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,05:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,05:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,05:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,05:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,05:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,05:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,05:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,05:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,05:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,05:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,05:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,05:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,05:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,05:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,05:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,05:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,05:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,06:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,06:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,06:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,06:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,06:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,06:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,06:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,06:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,06:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,06:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,06:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,06:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,06:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,06:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,06:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,06:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,06:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,06:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,07:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,07:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,07:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,07:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,07:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,07:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,07:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,07:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,07:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,07:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,07:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,07:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,07:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,07:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,07:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,07:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,07:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,07:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,08:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,08:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,08:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,08:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,08:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,08:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,08:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,08:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,08:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,08:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,08:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,08:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,08:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,08:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,08:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,08:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,08:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,08:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,09:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,09:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,09:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,09:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,09:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,09:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,09:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,09:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,09:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,09:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,09:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,09:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,09:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,09:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,09:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,09:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,09:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,09:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,10:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,10:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,10:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,10:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,10:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,10:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,10:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,10:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,10:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,10:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,10:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,10:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,10:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,10:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,10:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,10:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,10:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,10:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,11:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,11:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,11:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,11:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,11:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,11:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,11:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,11:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,11:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,11:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,11:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,11:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,11:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,11:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,11:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,11:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,11:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,11:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,12:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,12:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,12:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,12:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,12:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,12:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,12:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,12:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,12:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,12:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,12:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,12:30,0,0,0,0,0,0,0
