Callsign,Track Miles,3Di Score,Fuel Burn,CO2,Flight Time
101,WZZ217,217.337217,42.5891,2.17287,6.90974,2080
102,WZZ1321,217.337217,42.5891,2.17287,6.90974,2080
103,WUK2EC,217.337217,42.5461,2.30346,7.32499,2079
104,WZZ8WE,217.337217,42.4459,2.14049,6.80676,2079
105,WUK3909,217.337217,42.5461,2.30346,7.32499,2079
106,WZZ8US,217.337217,42.4657,2.46152,7.82763,2078
107,ELY314,217.337217,42.1791,2.37927,7.56607,2081
108,WZZ1CD,217.337217,42.4459,2.14049,6.80676,2079
109,WZZ9LV,217.337217,42.7346,2.18446,6.94658,2079
110,WZZ100B,217.337217,42.4459,2.14049,6.80676,2079
111,WZZ2DU,217.337217,42.5461,2.30346,7.32499,2079
112,WZZ3PK,217.337217,42.5461,2.30346,7.32499,2079
113,WZZ607,217.337217,42.5891,2.17287,6.90974,2080
114,WUK472,217.337217,42.5891,2.17287,6.90974,2080
115,WUK588,217.337217,42.5891,2.17287,6.90974,2080
116,WUK19CD,217.337217,42.5461,2.30346,7.32499,2079
117,WUK4485,217.337217,42.5891,2.17287,6.90974,2080
118,EZY86QA,217.337217,42.2999,2.11847,6.73673,2076
119,EZY46AK,217.337217,40.7555,2.0656,6.5686,2115
120,WUK569,217.337217,42.2999,2.11847,6.73673,2076
121,EZY75YV,217.337217,42.6761,2.08807,6.64007,2083
122,WUK2LP,217.337217,42.5461,2.30346,7.32499,2079
123,WUK1EF,217.337217,42.4114,2.27926,7.24804,2075
124,WUK1798,217.337217,42.5461,2.30346,7.32499,2079
125,EZY19QZ,217.337217,43.0421,2.01566,6.40979,2075
126,EZY2083,217.337217,42.4459,2.14049,6.80676,2079
127,WZZ3TK,217.337217,42.5891,2.17287,6.90974,2080
128,WZZ6ZM,217.337217,42.5891,2.17287,6.90974,2080
129,WZZ354,217.337217,42.5891,2.17287,6.90974,2080
130,EZY2187,217.337217,42.4459,2.14049,6.80676,2079
131,FOO768M,217.337217,40.6339,2.22239,7.0672,2148
132,WZZ4AR,217.337217,42.5891,2.17287,6.90974,2080
133,WZZ3AT,217.337217,42.5891,2.17287,6.90974,2080
134,WZZ131,217.337217,42.4459,2.14049,6.80676,2079
135,WZZ8TV,217.337217,42.5461,2.30346,7.32499,2079
136,RYR4YV,217.337217,42.6203,2.20678,7.01757,2069
137,WZZ1BE,217.337217,42.5891,2.17287,6.90974,2080
138,WZZ3VS,217.337217,42.5461,2.30346,7.32499,2079
139,WUK526,217.337217,42.5461,2.30346,7.32499,2079
140,WZZ6XJ,217.337217,42.5461,2.30346,7.32499,2079
141,WZZ8GN,217.337217,42.5891,2.17287,6.90974,2080
142,RYR8GL,217.337217,42.8735,2.24548,7.14064,2077
143,WZZ62,217.337217,42.4459,2.14049,6.80676,2079
144,MJE938,6.234838,2.46551,0.0559552,0.177938,125
145,WUK88,217.337217,42.4459,2.14049,6.80676,2079
146,EZY2157,217.337217,40.7555,2.0656,6.5686,2115
147,WZZ5ZU,217.337217,42.5461,2.30346,7.32499,2079
148,ELY312,217.337217,42.8735,2.24548,7.14064,2077
149,WUK52,217.337217,42.5461,2.30346,7.32499,2079
150,BMS6HU,217.337217,42.8735,2.24548,7.14064,2077
151,WZZ9BE,217.337217,42.5891,2.17287,6.90974,2080
152,WUK5316,217.337217,42.5891,2.17287,6.90974,2080
153,EZY79EZ,217.337217,40.7555,2.0656,6.5686,2115
154,EZY2085,217.337217,42.4459,2.14049,6.80676,2079
155,JET7,217.337217,36.1011,0.50882,1.61805,2618
156,WUK3728,217.337217,42.5891,2.17287,6.90974,2080
157,EZY12VV,217.337217,42.2999,2.11847,6.73673,2076
158,EZY86FH,217.337217,43.0421,2.01566,6.40979,2075
159,WZZ6ER,217.337217,42.5891,2.17287,6.90974,2080
160,EZY56DH,217.337217,42.5891,2.17287,6.90974,2080
161,WUK4451,217.337217,42.4459,2.14049,6.80676,2079
162,EZY31XF,217.337217,41.7361,2.09565,6.66418,2064
163,WUK1VN,217.337217,42.5461,2.30346,7.32499,2079
164,WZZ13BB,217.337217,42.5461,2.30346,7.32499,2079
165,N59CF,217.337217,43.1862,0.991882,3.15419,2103
166,SXS6YJ,217.337217,43.0076,2.29317,7.29229,2077
167,ELY212,217.337217,42.6782,6.59403,20.969,2008
168,WZZ1AC,217.337217,42.5461,2.30346,7.32499,2079
169,WUK687,217.337217,42.5891,2.17287,6.90974,2080
170,VLG962,217.337217,40.7555,2.0656,6.5686,2115
171,WZZ471,217.337217,42.7346,2.18446,6.94658,2079
172,WUK838,217.337217,42.8031,2.37019,7.53721,2082
173,TOM1MT,217.337217,42.7516,3.10138,9.86238,2062
174,GAC603V,217.337217,40.9942,0.280374,0.891588,2950
175,WZZ560,217.337217,42.5461,2.30346,7.32499,2079
176,VQBZM,217.337217,43.1862,0.991882,3.15419,2103
177,DITRA,217.337217,40.5168,0.324512,1.03195,2490
178,EZY96YG,217.337217,40.9516,1.94401,6.18196,2142
179,WUK501,217.337217,42.4114,2.27926,7.24804,2075
180,WUK1088,217.337217,42.5461,2.30346,7.32499,2079
181,N585DW,217.337217,40.9379,1.21613,3.8673,2099
182,EZY92YX,217.337217,42.2999,2.11847,6.73673,2076
183,RYR973H,217.337217,42.8735,2.24548,7.14064,2077
184,WUK5AY,217.337217,42.5461,2.30346,7.32499,2079
185,VPCMY,217.337217,43.1862,0.991882,3.15419,2103
186,RYR46YN,217.337217,42.8735,2.24548,7.14064,2077
187,WZZ14AA,217.337217,42.5461,2.30346,7.32499,2079
188,WUK5DX,217.337217,42.5461,2.30346,7.32499,2079
189,EZY38ZR,217.337217,43.1779,2.04993,6.51879,2075
190,BMS7VV,217.337217,42.4198,1.9778,6.28939,2115
191,EZY18DH,217.337217,42.9152,1.99813,6.35405,2072
192,EZY71DC,217.337217,40.9516,1.94401,6.18196,2142
193,WUK452,217.337217,42.5891,2.17287,6.90974,2080
194,VLG84AS,217.337217,40.7555,2.0656,6.5686,2115
195,VLG966U,217.337217,43.1779,2.04993,6.51879,2075
196,WUK8XN,217.337217,42.5461,2.30346,7.32499,2079
197,WZZ1CD,217.337217,42.5891,2.17287,6.90974,2080
198,WZZ6VJ,217.337217,42.5891,2.17287,6.90974,2080
199,WZZ348,217.337217,42.5891,2.17287,6.90974,2080
200,WZZ371,217.337217,42.5891,2.17287,6.90974,2080
201,WZZ1321,217.337217,42.5891,2.17287,6.90974,2080
202,WZZ8WE,217.337217,42.4459,2.14049,6.80676,2079
203,WZZ9LV,217.337217,42.5891,2.17287,6.90974,2080
204,WZZ100B,217.337217,42.5891,2.17287,6.90974,2080
205,VPBVV,217.337217,43.258,2.01249,6.39971,2068
206,WUK3WT,217.337217,42.6704,2.33429,7.42303,2082
207,WUK625,217.337217,42.5461,2.30346,7.32499,2079
208,WUK2EC,217.337217,42.5461,2.30346,7.32499,2079
209,ELY314,217.337217,42.1791,2.37927,7.56607,2081
210,SXS4RK,217.337217,42.8735,2.24548,7.14064,2077
211,WUK147,217.337217,42.5891,2.17287,6.90974,2080
212,WUK480,217.337217,42.5891,2.17287,6.90974,2080
213,WUK19CD,217.337217,42.5461,2.30346,7.32499,2079
214,EZY86FJ,217.337217,42.5891,2.17287,6.90974,2080
215,WUK407,217.337217,42.5891,2.17287,6.90974,2080
216,EZY38KW,217.337217,42.2999,2.11847,6.73673,2076
217,EZY46AK,217.337217,40.9516,1.94401,6.18196,2142
218,MCLAB,217.337217,43.6064,0.641484,2.03992,2110
219,EZY75YV,217.337217,42.264,2.03753,6.47934,2079
220,WUK1EF,217.337217,42.4114,2.27926,7.24804,2075
221,AXG0317,9.209908,47.3615,0.0644069,0.204814,193
222,XCH383,217.337217,43.2139,0.681711,2.16784,2126
223,WUK972,217.337217,42.5461,2.30346,7.32499,2079
224,WUK6PX,217.337217,42.5461,2.30346,7.32499,2079
225,CGXNW,217.337217,42.7241,0.622429,1.97932,2212
226,EZY19QZ,217.337217,43.0421,2.01566,6.40979,2075
227,WUK1798,217.337217,42.5461,2.30346,7.32499,2079
228,RYR973H,217.337217,42.8735,2.24548,7.14064,2077
229,EZY91PK,217.337217,42.4459,2.14049,6.80676,2079
230,WUK6001,217.337217,42.5891,2.17287,6.90974,2080
231,EZY2083,217.337217,42.4459,2.14049,6.80676,2079
232,EZY43JV,217.337217,42.5891,2.17287,6.90974,2080
233,EZY41ZJ,217.337217,42.6761,2.08807,6.64007,2083
234,WZZ3TK,217.337217,42.5891,2.17287,6.90974,2080
235,WZZ6ZM,217.337217,42.5891,2.17287,6.90974,2080
236,FOO768M,217.337217,40.6339,2.22239,7.0672,2148
237,WZZ3AT,217.337217,42.4459,2.14049,6.80676,2079
238,WZZ8TV,217.337217,42.5461,2.30346,7.32499,2079
239,WZZ4AR,217.337217,42.5891,2.17287,6.90974,2080
240,WZZ131,217.337217,42.4459,2.14049,6.80676,2079
241,WZZ3VS,217.337217,42.5461,2.30346,7.32499,2079
242,WZZ1BE,217.337217,42.4459,2.14049,6.80676,2079
243,WZZ8GN,217.337217,42.5891,2.17287,6.90974,2080
